Progress,Duration (in seconds),pid3,pid3_4_TEXT,Q303,first_1,first_2,first_3,first_4,first_5,first_6,pubs_1,pubs_2,pubs_3,pubs_4,pubs_5,pubs_6,dems_1,dems_2,dems_3,dems_4,dems_5,dems_6,mp_1,mp_2,mp_3,mp_4,mp_5,mp_6,therm_pubs_1,therm_dems_1,human_23,human_24,immigration_1,immigration_2,immigration_3,immigration_4,immigration_5,immigration_6,immigration_7,immigration_8,strongid,closestid,ideo7,sit_1,sit_2,sit_3,sit_4,Q301_1,Q301_2,Q301_3,Q301_4,Q301_5,Q302_1,Q302_2,Q302_3,Q302_4,Q302_5,Q306,Q308,Q310,Q310_10_TEXT,Q308.1,Q308_3_TEXT,Q309,Q309_6_TEXT,Q310.1,Q311,Q176,Q177,participant_id
100,922,Republican,,58642f4de16d530001b34622,"unequal,broken,unfair,expensive","greed,corruption,obesity,drugs","capitalist,constitution,state,people","land,eagle,president,life","diverse,innovative,powerful,strong","openness,independence,justice,opportunity","unequal,angry,sad,ignorant","corruption,obesity,violence,drugs","constitution,state,people,military","eagle,president,life,work","innovative,powerful,proud,strong","bravery,independence,justice,opportunity","unequal,angry,unfair,dangerous","racism,oppression,corruption,injustice","capitalist,politics,state,people","land,coast,city,president","beautiful,innovative,powerful,strong","bravery,family,independence,opportunity","unequal,broken,angry,dangerous","greed,obesity,violence,drugs","politics,constitution,people,military","eagle,president,life,work","diverse,innovative,powerful,strong","bravery,family,independence,opportunity",82.0,22.0,100.0,100.0,"Weakly
support","Strongly
oppose","Strongly
support","Strongly
oppose","Strongly
support","Moderately
support","Neither oppose
nor support","Weakly
support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Not very important,Very well,Somewhat,Rarely,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Alaska,,Atheists (do not believe God exists),,,,,,,,"
ok",no,mR0KeXwuCX
100,1614,Republican,,5bedf1dac998f000011f754b,"unequal,broken,angry,sad","oppression,corruption,violence,drugs","politics,constitution,people,military","eagle,president,life,work","diverse,powerful,proud,strong","independence,justice,leader,opportunity","broken,angry,dangerous,ignorant","greed,racism,corruption,violence","capitalist,politics,state,people","land,city,president,life","wealthy,innovative,powerful,strong","independence,justice,leader,opportunity","unequal,angry,dangerous,ignorant","greed,oppression,corruption,injustice","capitalist,politics,people,military","land,city,president,life","wealthy,powerful,proud,strong","independence,justice,leader,opportunity","unequal,unfair,dangerous,expensive","racism,violence,injustice,drugs","politics,constitution,people,military","eagle,president,life,work","diverse,beautiful,powerful,strong","family,independence,safety,opportunity",82.0,52.0,93.0,83.0,"Strongly
support","Moderately
oppose","Moderately
oppose","Moderately
oppose","Moderately
support","Strongly
oppose","Strongly
oppose","Strongly
support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Very important,Very well,Somewhat,Rarely,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Connecticut,,Catholicism (including Roman Catholic),,,,,,,,Not to much,no,mo2OwH85Xo
100,530,Republican,,5ca25e9a722da90017a27cf3,"unequal,broken,expensive,ignorant","racism,oppression,corruption,obesity","politics,constitution,state,military","land,eagle,president,life","diverse,innovative,powerful,strong","independence,justice,leader,opportunity","unequal,broken,unfair,sad","greed,corruption,obesity,violence","politics,constitution,state,military","land,eagle,president,life","beautiful,powerful,proud,strong","bravery,independence,leader,opportunity","unequal,unfair,dangerous,ignorant","racism,corruption,violence,injustice","politics,constitution,people,ocean","mountain,land,coast,president","wealthy,diverse,happy,proud","openness,independence,leader,opportunity","unequal,broken,expensive,ignorant","racism,corruption,obesity,injustice","politics,constitution,state,military","land,eagle,president,work","diverse,beautiful,powerful,strong","independence,justice,leader,opportunity",100.0,9.0,84.0,29.0,"Moderately
support","Weakly
oppose","Moderately
oppose","Weakly
oppose","Strongly
support","Moderately
support","Moderately
support","Moderately
support",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Extremely important,Very well,A great deal,All of the time,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Michigan,,Other Christianity (including non-denominational),,,,,,,,interesting to compare how i think a democrat vs a republican would associate with the word america,,VWJUOLXYmO
100,669,Republican,,60026455a178912760ac9c49,"unequal,unfair,expensive,ignorant","greed,corruption,obesity,drugs","politics,constitution,people,military","land,eagle,life,work","wealthy,beautiful,powerful,strong","bravery,family,independence,opportunity","unequal,angry,unfair,ignorant","greed,racism,corruption,violence","politics,constitution,people,military","land,president,life,work","wealthy,beautiful,powerful,strong","independence,justice,leader,opportunity","unequal,angry,unfair,ignorant","greed,racism,oppression,corruption","capitalist,politics,western,people","city,president,life,work","wealthy,beautiful,innovative,happy","bravery,justice,leader,opportunity","unequal,dangerous,expensive,ignorant","racism,obesity,injustice,drugs","capitalist,politics,constitution,military","eagle,president,life,work","wealthy,beautiful,powerful,proud","bravery,justice,leader,opportunity",80.0,50.0,82.0,82.0,"Weakly
support","Neither oppose
nor support","Moderately
support","Weakly
oppose","Weakly
support","Weakly
oppose","Weakly
support","Neither oppose
nor support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Moderate or middle of the road,Very important,Very well,Somewhat,Never,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Florida,,Other (please specify),spiritual ,,,,,,,it was a very interesting survey. ,,PofJPOEsPB
100,978,Democrat,,55abb1a5fdf99b501fab62e3,"unequal,broken,angry,unfair","greed,racism,corruption,injustice","politics,constitution,state,people","land,coast,eagle,city","diverse,beautiful,innovative,proud","bravery,family,independence,opportunity","broken,angry,unfair,dangerous","corruption,obesity,violence,drugs","capitalist,politics,constitution,military","land,eagle,president,work","beautiful,innovative,powerful,strong","bravery,family,independence,opportunity","unequal,broken,angry,unfair","greed,racism,obesity,injustice","capitalist,politics,constitution,people","land,coast,eagle,city","diverse,beautiful,innovative,proud","openness,independence,justice,opportunity","unequal,broken,angry,expensive","racism,corruption,obesity,drugs","capitalist,politics,constitution,people","land,eagle,life,work","beautiful,powerful,happy,strong","bravery,independence,justice,opportunity",50.0,90.0,100.0,100.0,"Strongly
oppose","Strongly
support","Strongly
support","Strongly
support","Strongly
support","Strongly
support","Strongly
support","Strongly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Liberal,Very important,Very well,Somewhat,All of the time,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Massachusetts,,Buddhism,,,,,,,,I found it interesting.,no advice,3w8fsxTUdu
100,632,Republican,,5c3c7913b4f22c0001a0809c,"unequal,broken,unfair,expensive","greed,corruption,obesity,injustice","capitalist,constitution,state,people","land,eagle,president,life","beautiful,innovative,powerful,happy","family,openness,independence,justice","unequal,broken,unfair,ignorant","greed,corruption,injustice,drugs","capitalist,politics,constitution,people","eagle,president,life,work","diverse,powerful,proud,strong","openness,independence,justice,opportunity","unequal,broken,dangerous,ignorant","racism,oppression,corruption,injustice","politics,western,state,people","coast,eagle,city,president","wealthy,diverse,powerful,strong","independence,justice,leader,opportunity","unequal,broken,dangerous,expensive","greed,corruption,injustice,drugs","capitalist,politics,state,people","land,eagle,president,work","wealthy,innovative,powerful,proud","independence,justice,leader,opportunity",79.0,17.0,90.0,89.0,"Neither oppose
nor support","Weakly
oppose","Weakly
support","Weakly
support","Weakly
support","Neither oppose
nor support","Weakly
oppose","Neither oppose
nor support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Very important,Very well,Somewhat,Some of the time,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Wisconsin,,Catholicism (including Roman Catholic),,,,,,,,simple and straightforward,none,K4XLpnEsRF
100,543,Republican,,5fa65c14816c5c26eda49590,"unequal,broken,expensive,ignorant","greed,corruption,obesity,violence","capitalist,constitution,state,military","land,eagle,president,life","diverse,powerful,proud,strong","family,independence,leader,opportunity","broken,unfair,sad,ignorant","racism,oppression,violence,injustice","politics,constitution,people,military","eagle,president,life,work","diverse,powerful,happy,strong","bravery,family,independence,opportunity","unequal,broken,angry,unfair","racism,oppression,corruption,injustice","capitalist,politics,constitution,military","land,city,president,life","wealthy,diverse,innovative,powerful","independence,justice,safety,opportunity","broken,dangerous,expensive,ignorant","greed,racism,obesity,violence","capitalist,politics,western,military","coast,eagle,president,work","wealthy,beautiful,powerful,strong","independence,justice,leader,opportunity",83.0,12.0,89.0,11.0,"Weakly
support","Weakly
oppose","Moderately
support","Moderately
support","Moderately
support","Moderately
support","Moderately
support","Neither oppose
nor support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Very important,Not very well,Somewhat,Some of the time,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,New York,,Catholicism (including Roman Catholic),,,,,,,,it was very interesting :),no,kXKm2n82CC
100,291,Democrat,,5c7afaed3576f70015c3ccad,"unequal,broken,expensive,ignorant","greed,racism,corruption,injustice","capitalist,politics,constitution,military","land,eagle,president,work","wealthy,beautiful,happy,proud","independence,justice,leader,opportunity","unequal,unfair,sad,expensive","oppression,violence,injustice,drugs","politics,constitution,people,military","mountain,land,eagle,president","powerful,happy,proud,strong","bravery,independence,safety,leader","unequal,broken,expensive,ignorant","greed,racism,oppression,corruption","capitalist,politics,state,military","eagle,city,president,work","wealthy,beautiful,powerful,proud","family,safety,leader,opportunity","unequal,broken,expensive,ignorant","greed,obesity,violence,injustice","politics,constitution,state,military","eagle,city,president,work","wealthy,beautiful,powerful,strong","bravery,independence,justice,opportunity",10.0,70.0,50.0,83.0,"Moderately
oppose","Strongly
support","Strongly
support","Strongly
support","Moderately
oppose","Strongly
oppose","Strongly
support","Strongly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Liberal,Not very important,Very well,Somewhat,Some of the time,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Massachusetts,,Agnostic (not sure if God exists),,,,,,,,Very interesting.,,1ssRLdtcuH
100,603,Republican,,5de5496937e1d50ca63e0fa5,"broken,angry,unfair,sad","greed,corruption,obesity,drugs","capitalist,politics,western,people","land,coast,life,work","diverse,beautiful,innovative,powerful","bravery,family,justice,opportunity","broken,unfair,sad,ignorant","greed,oppression,corruption,injustice","capitalist,politics,constitution,people","land,coast,eagle,life","beautiful,powerful,proud,strong","bravery,family,justice,opportunity","unequal,dangerous,expensive,ignorant","racism,oppression,corruption,injustice","capitalist,constitution,people,military","coast,city,president,life","wealthy,beautiful,innovative,powerful","openness,independence,leader,opportunity","unequal,broken,angry,unfair","greed,racism,corruption,drugs","capitalist,politics,constitution,people","land,city,life,work","beautiful,powerful,proud,strong","openness,independence,justice,opportunity",92.0,12.0,64.0,41.0,"Moderately
support","Strongly
support","Strongly
support","Neither oppose
nor support","Strongly
support","Moderately
support","Weakly
support","Strongly
support",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Extremely conservative,Extremely important,Extremely well,A great deal,All of the time,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Michigan,,Catholicism (including Roman Catholic),,,,,,,,It went fine. Many of the questions are on almost every survey these days.,none.,qdhYSyPYvV
100,1061,Democrat,,5e79aad7e135bf568f21f2a0,"broken,unfair,dangerous,expensive","greed,corruption,violence,injustice","capitalist,politics,constitution,military","mountain,eagle,city,president","diverse,beautiful,innovative,proud","openness,independence,leader,opportunity","broken,angry,sad,expensive","greed,corruption,obesity,violence","capitalist,constitution,state,military","mountain,eagle,president,work","beautiful,powerful,proud,strong","bravery,family,justice,safety","unequal,broken,sad,ignorant","racism,oppression,corruption,violence","capitalist,politics,western,constitution","city,president,life,work","wealthy,diverse,beautiful,innovative","openness,independence,leader,opportunity","unequal,sad,expensive,ignorant","greed,racism,corruption,obesity","capitalist,politics,western,military","eagle,city,president,work","wealthy,beautiful,powerful,strong","family,independence,leader,opportunity",30.0,100.0,80.0,100.0,"Strongly
oppose","Strongly
support","Strongly
support","Strongly
support","Neither oppose
nor support","Neither oppose
nor support","Strongly
support","Strongly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Liberal,Extremely important,Extremely well,A great deal,All of the time,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Texas,,Christian Orthodox,,,,,,,,It was okay.,No advice that I have to give,LC3cpzCyjn
100,685,Republican,,5ce6dc576ad4e5001e0978c8,"broken,angry,sad,expensive","corruption,obesity,violence,drugs","capitalist,constitution,people,military","land,eagle,life,work","beautiful,innovative,powerful,strong","bravery,independence,justice,opportunity","broken,angry,expensive,ignorant","corruption,obesity,violence,drugs","capitalist,constitution,people,military","land,eagle,president,life","diverse,powerful,proud,strong","bravery,independence,justice,leader","unequal,broken,unfair,ignorant","greed,racism,corruption,injustice","capitalist,politics,western,people","land,president,life,work","wealthy,beautiful,innovative,powerful","openness,independence,leader,opportunity","broken,angry,dangerous,expensive","greed,obesity,violence,drugs","capitalist,politics,constitution,people","city,president,life,work","diverse,beautiful,powerful,strong","independence,justice,leader,opportunity",100.0,0.0,100.0,100.0,"Strongly
support","Strongly
oppose","Strongly
oppose","Strongly
oppose","Strongly
support","Strongly
oppose","Strongly
oppose","Strongly
support",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Extremely conservative,Extremely important,Extremely well,A great deal,Some of the time,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,California,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,,,,,,,I think it was interesting. It makes you think.,No.,Qfkvvn1dcA
100,600,Republican,,5ea327ba59f5e91082bc9f8b,"unequal,angry,expensive,ignorant","racism,corruption,obesity,violence","politics,western,people,military","mountain,eagle,city,president","diverse,innovative,powerful,proud","bravery,family,independence,opportunity","unequal,broken,sad,ignorant","racism,obesity,violence,drugs","capitalist,constitution,state,people","mountain,city,president,work","wealthy,diverse,powerful,happy","family,independence,leader,opportunity","unequal,angry,unfair,dangerous","greed,oppression,corruption,violence","politics,constitution,people,military","land,coast,city,president","wealthy,diverse,powerful,proud","independence,justice,safety,opportunity","angry,dangerous,expensive,ignorant","greed,racism,oppression,corruption","politics,western,state,military","mountain,land,eagle,life","wealthy,diverse,innovative,powerful","bravery,independence,safety,leader",90.0,61.0,90.0,75.0,"Strongly
oppose","Strongly
support","Strongly
support","Strongly
support","Moderately
support","Strongly
support","Moderately
support","Strongly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Extremely liberal,Very important,Very well,A great deal,All of the time,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,California,,Catholicism (including Roman Catholic),,,,,,,,people perceptions of america,little more different words for some groups,LxcAwyFskv
100,893,Democrat,,600b359daf7606142adefbea,"unequal,broken,angry,expensive","greed,racism,oppression,injustice","politics,constitution,state,people","mountain,land,coast,president","diverse,beautiful,powerful,strong","bravery,openness,justice,opportunity","angry,dangerous,sad,expensive","greed,corruption,violence,drugs","capitalist,politics,constitution,military","eagle,president,life,work","wealthy,powerful,proud,strong","bravery,family,independence,justice","unequal,broken,sad,ignorant","racism,oppression,violence,injustice","capitalist,politics,state,people","city,president,life,work","diverse,beautiful,innovative,strong","openness,independence,justice,opportunity","broken,angry,unfair,sad","corruption,obesity,violence,drugs","capitalist,constitution,state,military","eagle,city,president,work","wealthy,powerful,proud,strong","bravery,independence,justice,opportunity",50.0,76.0,100.0,100.0,"Moderately
oppose","Strongly
support","Strongly
support","Strongly
support","Neither oppose
nor support","Moderately
support","Strongly
support","Strongly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Liberal,Not very important,Not very well,Somewhat,Some of the time,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Utah,,Mormonism,,,,,,,,Interesting to think about how others view the country.  ,No,OCvEBiiiJz
100,1346,Republican,,5e9ca054511e7a1c5c5640e5,"unequal,angry,unfair,expensive","greed,racism,corruption,drugs","capitalist,politics,constitution,state","eagle,president,life,work","diverse,beautiful,innovative,powerful","independence,justice,leader,opportunity","broken,angry,unfair,dangerous","greed,corruption,violence,drugs","capitalist,politics,constitution,military","land,eagle,president,life","beautiful,powerful,proud,strong","family,independence,justice,opportunity","broken,angry,unfair,sad","racism,corruption,violence,injustice","politics,state,people,ocean","coast,city,life,work","diverse,beautiful,innovative,powerful","bravery,family,justice,opportunity","unequal,angry,unfair,expensive","racism,oppression,violence,injustice","capitalist,politics,state,people","eagle,president,life,work","diverse,beautiful,innovative,proud","family,independence,justice,opportunity",100.0,1.0,100.0,66.0,"Strongly
support","Neither oppose
nor support","Strongly
support","Strongly
oppose","Strongly
support","Strongly
support","Neither oppose
nor support","Strongly
support",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Very important,Very well,A great deal,Some of the time,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Arkansas,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,,,,,,,Interesting survey.,None,2ZisOwNioT
100,722,Republican,,5ed160756f521a0a06227217,"broken,angry,dangerous,sad","corruption,obesity,violence,injustice","capitalist,politics,constitution,people","mountain,eagle,life,work","beautiful,innovative,powerful,strong","independence,justice,safety,opportunity","broken,angry,dangerous,sad","racism,oppression,corruption,violence","capitalist,politics,constitution,military","land,eagle,president,work","innovative,powerful,proud,strong","bravery,independence,justice,opportunity","unequal,broken,unfair,expensive","greed,racism,violence,injustice","capitalist,politics,state,people","land,coast,city,president","wealthy,diverse,powerful,strong","openness,justice,leader,opportunity","unequal,broken,angry,sad","racism,violence,injustice,drugs","capitalist,politics,constitution,people","mountain,land,eagle,work","wealthy,beautiful,powerful,strong","openness,independence,justice,opportunity",50.0,40.0,100.0,100.0,"Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support","Neither oppose
nor support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Moderate or middle of the road,Not very important,Not very well,Very little,Never,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,New York,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,,,,,,,Would like to think results will be used to promote healing but afraid might just be inflammatory.,,Tu1CbfCNQR
100,299,Democrat,,5fccc648d4ef000a9f291963,"unequal,broken,unfair,expensive","greed,corruption,obesity,drugs","capitalist,politics,western,military","land,eagle,city,president","diverse,beautiful,innovative,powerful","bravery,independence,leader,opportunity","angry,dangerous,sad,expensive","racism,oppression,corruption,obesity","western,state,people,military","land,city,life,work","beautiful,innovative,powerful,strong","bravery,family,justice,opportunity","unequal,broken,expensive,ignorant","racism,corruption,obesity,drugs","politics,western,state,ocean","land,coast,life,work","beautiful,powerful,happy,proud","bravery,justice,safety,opportunity","unequal,broken,unfair,expensive","racism,oppression,corruption,injustice","politics,constitution,state,military","land,eagle,city,president","wealthy,diverse,beautiful,strong","bravery,family,safety,opportunity",50.0,50.0,100.0,100.0,"Neither oppose
nor support","Moderately
support","Moderately
support","Neither oppose
nor support","Neither oppose
nor support","Strongly
oppose","Neither oppose
nor support","Weakly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Extremely liberal,Not at all,Not very well,Somewhat,Never,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Kentucky,,Other (please specify),Taoist,,,,,,,It was alright,Some questions seemed very the same,KtjvJrRDmk
100,342,Democrat,,583ec287ad2f4300014b355a,"unequal,broken,unfair,dangerous","oppression,obesity,violence,injustice","capitalist,constitution,state,military","city,president,life,work","wealthy,powerful,proud,strong","bravery,openness,independence,opportunity","dangerous,sad,expensive,ignorant","racism,obesity,violence,drugs","capitalist,state,people,military","eagle,president,life,work","wealthy,powerful,happy,proud","bravery,family,safety,leader","unequal,unfair,dangerous,expensive","racism,oppression,violence,injustice","capitalist,politics,constitution,people","mountain,land,life,work","diverse,beautiful,proud,strong","openness,independence,justice,opportunity","unequal,angry,sad,ignorant","greed,racism,corruption,injustice","capitalist,politics,constitution,ocean","land,eagle,president,life","wealthy,powerful,happy,proud","independence,justice,safety,opportunity",0.0,100.0,1.0,100.0,"Strongly
oppose","Strongly
support","Strongly
support","Strongly
support","Strongly
oppose","Neither oppose
nor support","Strongly
support","Strongly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Liberal,Extremely important,Extremely well,A great deal,All of the time,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Florida,,Other (please specify),none,,,,,,,It was interesting.,No.,LpDcAkDTcu
100,559,Republican,,5d8a1d20d1afcb0019d7390b,"broken,angry,dangerous,expensive","greed,oppression,corruption,injustice","capitalist,politics,western,constitution","eagle,city,president,life","diverse,beautiful,proud,strong","bravery,family,independence,opportunity","broken,angry,unfair,expensive","greed,corruption,violence,injustice","capitalist,western,constitution,state","land,coast,eagle,work","wealthy,powerful,proud,strong","openness,independence,safety,opportunity","broken,unfair,dangerous,ignorant","racism,obesity,violence,injustice","capitalist,politics,western,state","coast,eagle,city,president","wealthy,diverse,beautiful,innovative","openness,justice,safety,leader","unequal,broken,unfair,expensive","greed,corruption,obesity,injustice","capitalist,western,constitution,state","land,eagle,president,life","beautiful,innovative,powerful,strong","bravery,independence,justice,safety",88.0,2.0,98.0,2.0,"Strongly
support","Strongly
oppose","Strongly
oppose","Moderately
oppose","Strongly
support","Moderately
support","Moderately
oppose","Strongly
support",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Extremely conservative,Very important,Very well,Somewhat,Some of the time,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Massachusetts,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,,,,,,,Good survey.  Not a big fan of democrats,"No, you did a good job on this one. ",4HRLaGUhxH
100,888,Republican,,5ef035131f1b2a546b44c391,"broken,angry,unfair,sad","greed,racism,corruption,injustice","capitalist,politics,constitution,people","land,eagle,city,work","diverse,innovative,powerful,strong","bravery,independence,leader,opportunity","broken,angry,unfair,sad","greed,oppression,corruption,injustice","capitalist,politics,constitution,people","land,eagle,life,work","diverse,beautiful,innovative,proud","family,independence,safety,opportunity","unequal,angry,unfair,dangerous","racism,oppression,violence,injustice","capitalist,politics,state,military","city,president,life,work","diverse,innovative,powerful,strong","independence,justice,leader,opportunity","unequal,broken,unfair,sad","racism,oppression,corruption,injustice","politics,constitution,state,people","land,eagle,life,work","diverse,innovative,powerful,strong","family,independence,safety,opportunity",100.0,0.0,100.0,20.0,"Strongly
support","Strongly
oppose","Moderately
oppose","Strongly
oppose","Strongly
support","Strongly
oppose","Strongly
oppose","Strongly
support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Conservative,Not very important,Very well,Very little,Never,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Hawaii,,Other (please specify),Evangelical Christian,,,,,,,"I sense that this survey is biased towards Democrats, and that my responses will be used against me.",Be completely partial in the questions that are asked.,oWNY0tHgj0
100,700,Republican,,6013ceb22d7cc92d9a48fe2a,"unequal,unfair,sad,ignorant","racism,obesity,violence,drugs","politics,western,constitution,people","mountain,city,life,work","diverse,beautiful,innovative,powerful","family,independence,justice,leader","broken,unfair,sad,ignorant","obesity,violence,injustice,drugs","capitalist,politics,western,people","city,president,life,work","wealthy,beautiful,innovative,strong","family,openness,justice,opportunity","broken,angry,unfair,sad","racism,oppression,violence,drugs","politics,constitution,people,military","mountain,city,life,work","beautiful,happy,proud,strong","bravery,openness,independence,safety","unequal,angry,sad,expensive","greed,racism,oppression,obesity","capitalist,western,constitution,ocean","mountain,city,president,work","wealthy,diverse,beautiful,proud","bravery,safety,leader,opportunity",70.0,41.0,81.0,60.0,"Neither oppose
nor support","Neither oppose
nor support","Weakly
support","Weakly
oppose","Neither oppose
nor support","Neither oppose
nor support","Weakly
oppose","Weakly
support",Not very strong ${q://QID101/ChoiceGroup/SelectedChoices},,Slightly conservative,Not very important,Not very well,Very little,Rarely,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,California,,Catholicism (including Roman Catholic),,,,,,,,"My relationship with other political parties, the U.S etc",,Fi9aA8mRyM
100,562,Democrat,,5b3e57b3c2e381000175e656,"unequal,broken,expensive,ignorant","greed,racism,corruption,injustice","capitalist,politics,constitution,people","eagle,city,president,life","wealthy,diverse,innovative,powerful","openness,independence,justice,opportunity","broken,dangerous,sad,expensive","greed,corruption,injustice,drugs","capitalist,politics,constitution,military","eagle,president,life,work","wealthy,innovative,powerful,strong","independence,justice,leader,opportunity","unequal,broken,unfair,ignorant","racism,corruption,violence,injustice","capitalist,politics,constitution,people","eagle,president,life,work","diverse,innovative,proud,strong","openness,independence,justice,leader","unequal,broken,unfair,expensive","greed,racism,corruption,injustice","capitalist,politics,constitution,state","eagle,president,life,work","wealthy,diverse,innovative,powerful","openness,independence,leader,opportunity",0.0,100.0,0.0,100.0,"Moderately
oppose","Strongly
support","Strongly
support","Strongly
support","Strongly
support","Strongly
support","Strongly
support","Strongly
oppose",Strong ${q://QID101/ChoiceGroup/SelectedChoices},,Liberal,Very important,Very well,Somewhat,Rarely,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,California,,Agnostic (not sure if God exists),,,,,,,,Little too long.,A bit repetitive.,8on8MXGEAG
