pid3,Q5,Q7,pre_therm_pubs,pre_therm_dems,pre_med_A_1,pre_med_A_2,pre_med_A_3,pre_med_B_1,pre_med_B_2,pre_med_B_3,pre_dehum_pubs,pre_dehum_dems,first_1,first_2,first_3,first_4,first_5,first_6,post_dehum_pubs,post_dehum_dems,post_therm_pubs,post_therm_dems,post_mediators_A_1,post_mediators_A_2,post_mediators_B_1,post_mediators_B_2,Q64,id_1,id_2,id_3,pubs_1,pubs_2,pubs_3,pubs_4,pubs_5,pubs_6,mp_1,mp_2,mp_3,mp_4,mp_5,mp_6,dems_1,dems_2,dems_3,dems_4,dems_5,dems_6,consent,outgroup,cond
Republican,R,5,82,60,Strongly disagree,Neither agree nor disagree,Somewhat agree,,,,100,82,"unequal,angry,unfair,expensive","greed,corruption,violence,drugs","politics,constitution,state,people","coast,eagle,president,life","wealthy,innovative,powerful,strong","family,independence,justice,opportunity",100,87,95,68,Neither agree nor disagree,Neither agree nor disagree,,,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Extremely well,A great deal,All of the time,"angry,dangerous,expensive,ignorant","corruption,obesity,violence,drugs","capitalist,western,constitution,people","city,president,life,work","wealthy,beautiful,powerful,strong","family,independence,justice,opportunity","broken,unfair,dangerous,expensive","greed,racism,obesity,violence","politics,western,constitution,military","mountain,land,eagle,work","wealthy,powerful,happy,strong","bravery,family,leader,opportunity","unequal,broken,unfair,sad","greed,racism,corruption,injustice","politics,state,people,ocean","mountain,land,coast,life","diverse,beautiful,innovative,powerful","family,safety,leader,opportunity","Yes, you may use my data",Democrat,lowOGOCD
Republican,R,5,99,0,Somewhat agree,Strongly disagree,Strongly agree,,,,100,91,"broken,dangerous,sad,ignorant","corruption,obesity,violence,drugs","capitalist,politics,constitution,people","mountain,land,eagle,president","wealthy,powerful,proud,strong","openness,independence,justice,opportunity",100,91,99,0,Somewhat agree,Strongly disagree,,,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Extremely well,A great deal,Some of the time,"broken,angry,dangerous,ignorant","corruption,violence,injustice,drugs","capitalist,constitution,state,people","land,eagle,president,work","wealthy,powerful,proud,strong","openness,independence,justice,opportunity","unequal,broken,unfair,dangerous","racism,violence,injustice,drugs","capitalist,constitution,people,military","land,eagle,president,work","wealthy,powerful,proud,strong","bravery,independence,justice,opportunity","unequal,angry,unfair,expensive","racism,oppression,violence,injustice","politics,state,people,military","eagle,president,life,work","wealthy,diverse,powerful,strong","bravery,justice,leader,opportunity","Yes, you may use my data",Democrat,highOGOCD
Democrat,R,5,46,61,,,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,10,10,"unequal,broken,unfair,ignorant","greed,corruption,violence,injustice","capitalist,western,state,military","land,eagle,life,work","diverse,beautiful,powerful,strong","family,independence,safety,opportunity",10,10,40,60,,,Somewhat disagree,Neither agree nor disagree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Somewhat,Rarely,"broken,angry,unfair,expensive","greed,obesity,injustice,drugs","western,constitution,state,ocean","land,eagle,president,life","wealthy,beautiful,powerful,proud","bravery,family,independence,opportunity","angry,unfair,dangerous,expensive","greed,racism,obesity,injustice","capitalist,politics,western,military","eagle,city,president,work","wealthy,diverse,innovative,proud","family,independence,safety,opportunity","unequal,broken,unfair,expensive","racism,oppression,corruption,injustice","capitalist,people,ocean,military","coast,city,president,life","diverse,innovative,powerful,proud","bravery,justice,safety,leader","Yes, you may use my data",Republican,highICD
Democrat,R,5,16,69,,,,Neither agree nor disagree,Strongly agree,Somewhat agree,100,100,"unequal,unfair,expensive,ignorant","greed,racism,corruption,injustice","capitalist,politics,western,military","land,eagle,president,work","wealthy,diverse,innovative,powerful","bravery,family,independence,leader",100,100,23,73,,,Somewhat disagree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Rarely,"broken,unfair,dangerous,sad","greed,corruption,obesity,drugs","politics,western,constitution,military","eagle,president,life,work","innovative,powerful,proud,strong","family,independence,safety,opportunity","broken,unfair,expensive,ignorant","greed,racism,obesity,injustice","capitalist,politics,western,constitution","eagle,president,life,work","diverse,innovative,proud,strong","family,independence,safety,opportunity","unequal,broken,unfair,ignorant","greed,racism,violence,injustice","capitalist,politics,western,people","eagle,president,life,work","wealthy,diverse,innovative,powerful","bravery,openness,justice,leader","Yes, you may use my data",Republican,highICD
Democrat,R,5,20,60,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,65,70,"unequal,broken,unfair,expensive","greed,racism,obesity,injustice","capitalist,politics,state,military","land,city,life,work","diverse,innovative,powerful,strong","family,independence,safety,opportunity",65,70,20,60,,,Somewhat disagree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Rarely,"broken,unfair,dangerous,expensive","corruption,obesity,violence,drugs","capitalist,western,constitution,military","eagle,president,life,work","wealthy,beautiful,powerful,happy","bravery,family,independence,opportunity","unequal,broken,dangerous,ignorant","racism,obesity,violence,drugs","capitalist,politics,western,military","land,eagle,president,work","wealthy,innovative,powerful,strong","openness,independence,leader,opportunity","unequal,broken,unfair,dangerous","racism,oppression,corruption,injustice","capitalist,politics,western,military","land,city,life,work","diverse,beautiful,innovative,powerful","bravery,family,independence,opportunity","Yes, you may use my data",Republican,lowOGOCD
Democrat,R,5,10,85,,,,Somewhat agree,Strongly disagree,Strongly agree,60,90,"unequal,angry,dangerous,ignorant","oppression,obesity,violence,injustice","capitalist,politics,western,military","land,city,life,work","wealthy,diverse,innovative,powerful","bravery,family,independence,opportunity",65,89,10,88,,,Somewhat agree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,A great deal,Rarely,"broken,unfair,sad,expensive","corruption,obesity,violence,drugs","capitalist,politics,western,military","land,city,president,work","wealthy,powerful,proud,strong","bravery,independence,leader,opportunity","unequal,angry,dangerous,ignorant","corruption,obesity,violence,drugs","capitalist,politics,western,military","land,city,life,work","diverse,innovative,powerful,proud","family,openness,independence,opportunity","unequal,broken,unfair,ignorant","greed,racism,oppression,injustice","capitalist,politics,constitution,ocean","mountain,land,coast,work","wealthy,diverse,powerful,proud","family,openness,independence,safety","Yes, you may use my data",Republican,lowOGOCD
Democrat,R,5,8,54,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,100,100,"unequal,angry,unfair,expensive","racism,obesity,violence,injustice","western,constitution,state,people","land,eagle,president,life","diverse,beautiful,innovative,powerful","family,independence,leader,opportunity",100,100,8,55,,,Somewhat agree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"broken,angry,sad,expensive","corruption,obesity,violence,drugs","capitalist,constitution,state,military","land,eagle,city,president","beautiful,powerful,proud,strong","bravery,independence,leader,opportunity","broken,angry,unfair,expensive","greed,violence,injustice,drugs","politics,constitution,state,people","mountain,land,eagle,president","diverse,innovative,proud,strong","family,independence,leader,opportunity","unequal,unfair,dangerous,sad","racism,oppression,violence,injustice","politics,constitution,state,people","land,eagle,president,life","diverse,beautiful,innovative,powerful","family,openness,independence,leader","Yes, you may use my data",Republican,highOGOCD
Democrat,R,5,39,68,,,,Neither agree nor disagree,Strongly disagree,Strongly agree,81,90,"unequal,unfair,dangerous,sad","racism,corruption,obesity,violence","capitalist,politics,western,constitution","mountain,eagle,life,work","wealthy,diverse,beautiful,powerful","family,openness,independence,opportunity",86,91,40,70,,,Somewhat disagree,Somewhat agree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"broken,angry,dangerous,expensive","corruption,obesity,violence,drugs","capitalist,western,constitution,military","land,eagle,life,work","wealthy,powerful,proud,strong","bravery,independence,justice,opportunity","unequal,broken,dangerous,expensive","greed,corruption,obesity,drugs","capitalist,politics,western,constitution","land,eagle,life,work","diverse,beautiful,powerful,proud","bravery,family,independence,opportunity","unequal,broken,unfair,sad","greed,racism,oppression,violence","politics,constitution,people,ocean","city,president,life,work","diverse,beautiful,happy,strong","family,openness,independence,justice","Yes, you may use my data",Republican,lowOGOCD
Democrat,R,5,50,70,,,,Somewhat disagree,Somewhat agree,Strongly agree,91,91,"unequal,broken,unfair,expensive","racism,oppression,obesity,injustice","capitalist,politics,western,constitution","eagle,president,life,work","wealthy,diverse,innovative,strong","openness,independence,leader,opportunity",91,91,53,79,,,Somewhat disagree,Neither agree nor disagree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Very little,Some of the time,"unequal,broken,unfair,expensive","racism,oppression,obesity,injustice","capitalist,politics,western,constitution","eagle,president,life,work","wealthy,diverse,innovative,powerful","openness,independence,leader,opportunity","unequal,broken,unfair,expensive","greed,oppression,obesity,drugs","capitalist,western,constitution,state","eagle,president,life,work","diverse,innovative,powerful,proud","openness,independence,leader,opportunity","unequal,broken,unfair,ignorant","greed,racism,oppression,injustice","capitalist,politics,constitution,state","land,eagle,president,life","diverse,innovative,proud,strong","openness,safety,leader,opportunity","Yes, you may use my data",Republican,lowOGOCD
Democrat,R,5,20,71,,,,Neither agree nor disagree,Strongly disagree,Strongly agree,66,90,"unequal,broken,angry,ignorant","racism,obesity,violence,injustice","capitalist,western,constitution,military","land,city,president,work","wealthy,diverse,innovative,powerful","family,independence,leader,opportunity",80,80,20,71,,,Neither agree nor disagree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,A great deal,Never,"broken,angry,dangerous,expensive","corruption,obesity,violence,drugs","western,constitution,people,military","land,eagle,president,work","wealthy,beautiful,powerful,strong","bravery,family,justice,leader","unequal,broken,angry,expensive","racism,corruption,obesity,violence","politics,constitution,people,military","eagle,city,president,work","beautiful,innovative,proud,strong","bravery,independence,leader,opportunity","unequal,broken,angry,ignorant","greed,racism,oppression,injustice","capitalist,politics,western,people","land,city,life,work","diverse,beautiful,innovative,powerful","openness,independence,leader,opportunity","Yes, you may use my data",Republican,lowICD
Democrat,R,5,9,76,,,,Neither agree nor disagree,Strongly disagree,Strongly agree,66,75,"broken,unfair,sad,expensive","racism,obesity,injustice,drugs","capitalist,western,constitution,military","land,coast,eagle,president","diverse,innovative,powerful,proud","bravery,independence,safety,opportunity",81,87,13,75,,,Neither agree nor disagree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"angry,unfair,expensive,ignorant","greed,corruption,obesity,injustice","capitalist,constitution,people,military","land,eagle,president,life","wealthy,innovative,powerful,strong","justice,safety,leader,opportunity","unequal,broken,sad,expensive","greed,racism,oppression,corruption","politics,western,people,ocean","land,eagle,president,life","wealthy,diverse,beautiful,powerful","family,openness,independence,opportunity","unequal,broken,angry,unfair","greed,oppression,violence,injustice","western,constitution,state,people","land,eagle,city,life","diverse,beautiful,powerful,proud","bravery,family,openness,independence","Yes, you may use my data",Republican,lowOGOCD
Democrat,R,5,31,70,,,,Somewhat agree,Somewhat disagree,Somewhat agree,40,70,"unequal,broken,sad,expensive","racism,corruption,obesity,injustice","western,constitution,people,ocean","land,city,life,work","diverse,innovative,powerful,proud","openness,independence,justice,opportunity",35,70,30,75,,,Somewhat agree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,A great deal,All of the time,"angry,unfair,sad,expensive","greed,corruption,obesity,violence","politics,constitution,state,military","land,eagle,president,work","wealthy,powerful,proud,strong","independence,justice,leader,opportunity","unequal,broken,expensive,ignorant","greed,racism,corruption,obesity","constitution,state,people,military","land,eagle,president,work","beautiful,powerful,happy,proud","bravery,independence,justice,opportunity","unequal,broken,sad,expensive","racism,corruption,obesity,injustice","politics,constitution,state,people","land,president,life,work","diverse,powerful,proud,strong","family,justice,safety,opportunity","Yes, you may use my data",Republican,highOGOCD
Democrat,R,5,35,69,,,,Neither agree nor disagree,Strongly disagree,Strongly agree,100,100,"unequal,broken,unfair,ignorant","racism,oppression,corruption,violence","capitalist,politics,western,military","land,eagle,president,work","diverse,innovative,powerful,strong","openness,safety,leader,opportunity",100,100,38,68,,,Neither agree nor disagree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"unequal,broken,angry,unfair","greed,oppression,corruption,drugs","capitalist,politics,constitution,military","eagle,president,life,work","wealthy,powerful,proud,strong","bravery,independence,justice,opportunity","angry,unfair,dangerous,expensive","greed,corruption,violence,injustice","politics,western,constitution,military","land,eagle,president,work","beautiful,powerful,proud,strong","bravery,independence,justice,opportunity","broken,unfair,dangerous,ignorant","racism,corruption,violence,injustice","politics,constitution,state,military","land,president,life,work","diverse,powerful,proud,strong","bravery,safety,leader,opportunity","Yes, you may use my data",Republican,lowOGOCD
Democrat,R,5,14,70,,,,Strongly agree,Strongly disagree,Strongly agree,81,81,"unequal,broken,unfair,expensive","racism,oppression,obesity,injustice","capitalist,politics,western,constitution","land,eagle,president,work","wealthy,diverse,innovative,powerful","independence,justice,leader,opportunity",81,81,14,76,,,Somewhat agree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"broken,angry,dangerous,ignorant","greed,oppression,corruption,violence","capitalist,politics,state,military","land,eagle,president,life","wealthy,powerful,proud,strong","bravery,family,independence,leader","unequal,angry,unfair,ignorant","racism,oppression,obesity,injustice","capitalist,politics,constitution,people","mountain,eagle,president,life","wealthy,powerful,proud,strong","bravery,independence,justice,safety","unequal,broken,unfair,sad","racism,oppression,corruption,injustice","capitalist,politics,constitution,people","city,president,life,work","wealthy,diverse,innovative,powerful","openness,independence,justice,opportunity","Yes, you may use my data",Republican,lowICD
Democrat,R,5,4,89,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,24,90,"broken,sad,expensive,ignorant","racism,corruption,violence,drugs","capitalist,politics,people,military","mountain,land,eagle,city","beautiful,innovative,happy,proud","family,openness,leader,opportunity",7,83,24,94,,,Somewhat agree,Neither agree nor disagree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Very little,Rarely,"unfair,dangerous,sad,expensive","greed,corruption,violence,injustice","capitalist,western,ocean,military","eagle,city,president,life","wealthy,diverse,powerful,happy","bravery,justice,safety,leader","broken,angry,dangerous,expensive","greed,racism,corruption,violence","western,constitution,ocean,military","eagle,city,life,work","wealthy,innovative,proud,strong","bravery,openness,safety,leader","broken,angry,unfair,expensive","greed,racism,corruption,obesity","capitalist,politics,western,people","city,president,life,work","beautiful,innovative,powerful,proud","bravery,family,openness,safety","Yes, you may use my data",Republican,lowICD
Republican,R,5,80,24,Somewhat disagree,Strongly disagree,Somewhat agree,,,,83,95,"broken,angry,sad,expensive","greed,corruption,obesity,violence","capitalist,constitution,people,military","land,city,life,work","wealthy,diverse,innovative,powerful","bravery,openness,independence,leader",84,91,87,23,Somewhat disagree,Strongly disagree,,,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,A great deal,Never,"broken,angry,dangerous,sad","greed,corruption,obesity,violence","capitalist,politics,constitution,state","land,eagle,president,life","innovative,powerful,proud,strong","bravery,independence,leader,opportunity","unequal,broken,unfair,expensive","racism,oppression,obesity,injustice","politics,western,state,people","land,eagle,city,president","wealthy,diverse,powerful,strong","family,openness,justice,leader","unequal,unfair,sad,ignorant","greed,racism,oppression,injustice","capitalist,politics,state,military","land,coast,city,life","diverse,happy,proud,strong","openness,justice,safety,opportunity","Yes, you may use my data",Democrat,highICD
Democrat,R,5,15,70,,,,Neither agree nor disagree,Strongly disagree,Somewhat agree,97,100,"unequal,dangerous,expensive,ignorant","racism,oppression,corruption,violence","capitalist,politics,western,military","mountain,land,eagle,president","wealthy,diverse,innovative,proud","bravery,family,independence,leader",97,100,13,81,,,Neither agree nor disagree,Somewhat agree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"unequal,unfair,expensive,ignorant","greed,obesity,injustice,drugs","capitalist,politics,people,military","land,eagle,president,life","wealthy,diverse,powerful,proud","bravery,family,justice,leader","unfair,dangerous,expensive,ignorant","greed,oppression,corruption,violence","capitalist,western,constitution,military","land,eagle,president,life","wealthy,beautiful,powerful,proud","bravery,family,independence,opportunity","unequal,unfair,dangerous,sad","racism,oppression,obesity,drugs","politics,western,constitution,military","mountain,land,eagle,city","diverse,happy,proud,strong","family,openness,independence,justice","Yes, you may use my data",Republican,highOGOCD
Democrat,R,5,0,51,,,,Somewhat agree,Strongly disagree,Somewhat agree,100,100,"unequal,broken,unfair,expensive","racism,oppression,corruption,injustice","capitalist,politics,constitution,military","land,coast,city,president","diverse,innovative,powerful,strong","bravery,independence,leader,opportunity",96,100,1,48,,,Neither agree nor disagree,Neither agree nor disagree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Very little,Rarely,"angry,unfair,sad,expensive","greed,racism,oppression,injustice","capitalist,politics,ocean,military","eagle,city,president,work","wealthy,powerful,proud,strong","bravery,justice,leader,opportunity","unequal,broken,sad,expensive","racism,obesity,violence,drugs","capitalist,politics,constitution,military","land,president,life,work","wealthy,diverse,powerful,proud","independence,justice,leader,opportunity","unequal,unfair,expensive,ignorant","greed,racism,oppression,corruption","capitalist,politics,constitution,military","land,president,life,work","wealthy,diverse,powerful,strong","independence,safety,leader,opportunity","Yes, you may use my data",Republican,highOGOCD
Democrat,R,5,66,76,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,92,92,"broken,unfair,expensive,ignorant","greed,racism,obesity,drugs","politics,constitution,people,military","land,eagle,president,work","wealthy,diverse,powerful,proud","bravery,independence,justice,opportunity",93,93,74,75,,,Neither agree nor disagree,Somewhat disagree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Somewhat,Rarely,"broken,unfair,expensive,ignorant","greed,racism,corruption,violence","capitalist,politics,state,military","land,eagle,president,work","wealthy,powerful,proud,strong","bravery,independence,justice,opportunity","unequal,unfair,expensive,ignorant","greed,racism,corruption,injustice","politics,constitution,people,military","land,city,president,work","wealthy,diverse,innovative,powerful","independence,justice,leader,opportunity","unequal,unfair,expensive,ignorant","racism,obesity,violence,injustice","politics,constitution,people,military","city,president,life,work","wealthy,beautiful,powerful,strong","independence,safety,leader,opportunity","Yes, you may use my data",Republican,highICD
Democrat,R,5,5,60,,,,Somewhat disagree,Strongly disagree,Somewhat agree,100,100,"unequal,dangerous,expensive,ignorant","greed,racism,corruption,injustice","western,constitution,state,military","land,eagle,life,work","wealthy,diverse,beautiful,powerful","family,independence,justice,leader",100,100,5,60,,,Somewhat disagree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,A great deal,Some of the time,"angry,dangerous,sad,expensive","oppression,corruption,obesity,drugs","capitalist,politics,western,military","land,eagle,president,work","beautiful,powerful,proud,strong","independence,justice,safety,opportunity","unequal,dangerous,sad,expensive","greed,corruption,obesity,drugs","politics,constitution,state,military","land,eagle,city,president","wealthy,beautiful,powerful,strong","bravery,independence,leader,opportunity","unequal,broken,angry,unfair","racism,oppression,injustice,drugs","politics,western,constitution,people","land,eagle,president,work","diverse,beautiful,innovative,powerful","bravery,independence,justice,opportunity","Yes, you may use my data",Republican,highOGOCD
Democrat,R,5,1,59,,,,Strongly agree,Strongly disagree,Strongly agree,88,94,"unequal,broken,unfair,ignorant","greed,racism,oppression,corruption","constitution,state,people,ocean","land,coast,city,life","diverse,innovative,happy,strong","bravery,independence,justice,opportunity",25,100,2,90,,,Somewhat agree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Very little,Never,"unequal,dangerous,sad,expensive","greed,corruption,violence,drugs","capitalist,politics,constitution,military","mountain,land,president,life","innovative,powerful,happy,strong","bravery,independence,safety,opportunity","unequal,broken,unfair,expensive","greed,racism,corruption,obesity","capitalist,western,state,military","mountain,land,coast,city","wealthy,diverse,powerful,strong","family,independence,safety,opportunity","broken,unfair,expensive,ignorant","greed,racism,oppression,corruption","politics,state,people,ocean","mountain,land,city,life","diverse,beautiful,innovative,proud","bravery,family,justice,opportunity","Yes, you may use my data",Republican,highOGOCD
Democrat,R,5,10,75,,,,Somewhat disagree,Strongly disagree,Somewhat agree,100,100,"unequal,unfair,expensive,ignorant","greed,racism,obesity,injustice","capitalist,politics,western,constitution","land,eagle,president,work","wealthy,beautiful,powerful,proud","family,independence,leader,opportunity",100,100,10,75,,,Somewhat disagree,Neither agree nor disagree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Not at all,Never,"angry,unfair,sad,expensive","greed,obesity,violence,drugs","capitalist,constitution,people,military","eagle,president,life,work","innovative,happy,proud,strong","bravery,family,independence,leader","broken,angry,unfair,expensive","greed,obesity,violence,drugs","capitalist,politics,constitution,military","land,eagle,president,life","wealthy,powerful,proud,strong","independence,justice,leader,opportunity","unequal,broken,unfair,ignorant","greed,racism,obesity,injustice","politics,western,constitution,people","land,eagle,president,life","beautiful,innovative,powerful,strong","independence,justice,leader,opportunity","Yes, you may use my data",Republican,lowOGOCD
Democrat,R,5,1,100,,,,Strongly agree,Strongly disagree,Strongly agree,81,100,"unequal,broken,angry,ignorant","greed,racism,oppression,injustice","politics,western,people,military","land,city,president,work","wealthy,diverse,powerful,strong","family,independence,leader,opportunity",86,100,1,100,,,Strongly agree,Strongly agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Extremely well,A great deal,All of the time,"broken,angry,dangerous,expensive","greed,corruption,violence,drugs","capitalist,western,constitution,military","eagle,president,life,work","wealthy,powerful,proud,strong","bravery,independence,safety,leader","angry,unfair,dangerous,expensive","greed,corruption,violence,drugs","capitalist,western,constitution,military","eagle,president,life,work","wealthy,powerful,proud,strong","bravery,independence,leader,opportunity","unequal,broken,unfair,ignorant","racism,oppression,violence,injustice","capitalist,politics,state,military","land,city,president,work","wealthy,diverse,powerful,strong","family,independence,leader,opportunity","Yes, you may use my data",Republican,lowICD
Democrat,R,5,32,85,,,,Neither agree nor disagree,Somewhat disagree,Somewhat agree,81,90,"unequal,broken,sad,expensive","greed,racism,corruption,obesity","capitalist,politics,constitution,military","land,eagle,city,life","diverse,beautiful,innovative,powerful","bravery,independence,leader,opportunity",82,88,29,90,,,Neither agree nor disagree,Somewhat agree,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Rarely,"broken,angry,unfair,expensive","corruption,obesity,violence,injustice","capitalist,politics,constitution,military","mountain,land,eagle,life","wealthy,beautiful,proud,strong","bravery,independence,leader,opportunity","unequal,broken,unfair,expensive","racism,oppression,obesity,violence","capitalist,politics,constitution,military","land,eagle,president,life","wealthy,diverse,innovative,powerful","bravery,openness,independence,justice","unequal,unfair,sad,expensive","oppression,obesity,violence,injustice","capitalist,politics,constitution,people","eagle,city,life,work","diverse,innovative,proud,strong","openness,independence,justice,opportunity","Yes, you may use my data",Republican,lowICD
Republican,R,5,82,45,Strongly agree,Somewhat disagree,Somewhat agree,,,,95,95,"angry,unfair,expensive,ignorant","greed,obesity,violence,drugs","capitalist,western,constitution,military","mountain,land,eagle,life","beautiful,powerful,proud,strong","bravery,independence,justice,opportunity",95,95,92,41,Strongly agree,Somewhat disagree,,,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,A great deal,All of the time,"unequal,angry,expensive,ignorant","greed,corruption,obesity,drugs","capitalist,politics,western,military","mountain,land,eagle,president","wealthy,powerful,proud,strong","bravery,family,independence,leader","unequal,broken,unfair,dangerous","racism,oppression,violence,injustice","capitalist,politics,state,military","land,city,president,work","diverse,beautiful,innovative,proud","bravery,openness,justice,leader","unequal,broken,unfair,sad","greed,racism,obesity,injustice","politics,constitution,state,people","coast,city,life,work","diverse,beautiful,innovative,happy","openness,justice,safety,leader","Yes, you may use my data",Democrat,lowOGOCD
Democrat,R,5,21,82,,,,Somewhat disagree,Strongly disagree,Strongly agree,100,100,"unequal,broken,unfair,expensive","racism,oppression,obesity,violence","capitalist,politics,constitution,military","eagle,city,president,work","diverse,beautiful,innovative,powerful","openness,independence,justice,opportunity",100,100,17,84,,,Somewhat agree,Strongly disagree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Some of the time,"unequal,unfair,dangerous,expensive","racism,obesity,violence,drugs","capitalist,politics,western,military","eagle,city,president,life","beautiful,powerful,proud,strong","family,independence,justice,opportunity","broken,unfair,expensive,ignorant","greed,racism,obesity,violence","capitalist,politics,western,military","mountain,land,coast,president","wealthy,diverse,powerful,strong","openness,independence,justice,opportunity","unequal,broken,unfair,ignorant","racism,corruption,violence,injustice","politics,western,constitution,military","land,eagle,city,president","beautiful,innovative,proud,strong","openness,independence,justice,opportunity","Yes, you may use my data",Republican,highICD
Republican,R,5,50,21,Somewhat agree,Strongly disagree,Strongly agree,,,,57,49,"angry,sad,expensive,ignorant","greed,corruption,violence,drugs","western,constitution,state,people","land,coast,eagle,president","powerful,happy,proud,strong","bravery,family,independence,leader",62,48,53,23,Somewhat agree,Strongly disagree,,,Not very strong ${q://QID17/ChoiceGroup/SelectedChoices},Not very well,Very little,Never,"angry,sad,expensive,ignorant","greed,corruption,violence,drugs","politics,constitution,people,military","eagle,president,life,work","wealthy,beautiful,powerful,proud","bravery,independence,justice,safety","broken,angry,sad,expensive","greed,corruption,violence,drugs","constitution,state,people,military","coast,president,life,work","wealthy,beautiful,powerful,proud","family,openness,independence,leader","unequal,broken,unfair,dangerous","greed,racism,oppression,injustice","capitalist,politics,western,military","land,coast,city,work","diverse,beautiful,powerful,strong","bravery,openness,justice,opportunity","Yes, you may use my data",Democrat,highICD
Democrat,R,5,0,80,,,,Strongly agree,Strongly disagree,Somewhat agree,38,89,"angry,sad,expensive,ignorant","greed,racism,corruption,injustice","capitalist,politics,western,military","land,eagle,president,work","diverse,innovative,proud,strong","openness,independence,safety,opportunity",38,91,0,84,,,Strongly agree,Somewhat agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Very well,Somewhat,Rarely,"broken,unfair,dangerous,sad","oppression,corruption,violence,drugs","constitution,state,people,military","land,eagle,president,work","wealthy,beautiful,powerful,strong","bravery,independence,safety,leader","broken,angry,expensive,ignorant","racism,corruption,obesity,drugs","capitalist,western,constitution,military","land,coast,eagle,president","wealthy,diverse,powerful,strong","openness,independence,justice,opportunity","unequal,broken,expensive,ignorant","racism,oppression,corruption,injustice","capitalist,politics,constitution,military","coast,city,life,work","diverse,beautiful,happy,proud","bravery,independence,leader,opportunity","Yes, you may use my data",Republican,highICD
Democrat,R,5,1,100,,,,Strongly agree,Strongly disagree,Strongly agree,1,100,"unequal,unfair,sad,expensive","greed,racism,corruption,injustice","politics,western,constitution,people","land,eagle,president,life","diverse,beautiful,powerful,strong","independence,justice,leader,opportunity",10,94,8,100,,,Strongly agree,Strongly agree,Strong ${q://QID17/ChoiceGroup/SelectedChoices},Extremely well,A great deal,Some of the time,"unequal,unfair,sad,ignorant","racism,oppression,corruption,obesity","politics,western,ocean,military","mountain,land,eagle,city","diverse,beautiful,innovative,proud","bravery,independence,leader,opportunity","angry,unfair,dangerous,sad","racism,violence,injustice,drugs","politics,western,constitution,military","mountain,land,eagle,president","diverse,beautiful,innovative,powerful","independence,justice,leader,opportunity","broken,sad,expensive,ignorant","greed,racism,oppression,injustice","politics,western,constitution,ocean","mountain,land,eagle,president","diverse,beautiful,happy,strong","independence,justice,leader,opportunity","Yes, you may use my data",Republican,lowICD
